orderId,createdAt,deliveryAddress,deliveryFee,productId,productName,productPrice,quantity,orderStatus,paymentStatus,subtotal,totalAmount,userEmail,userId
DO630JkNFCFKKaX00001,2023-01-20 22:05:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,MilkChoc03,Milk Chocolate,139,4,DELIVERED,PAID,556,606,user971@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00002,2023-01-15 18:22:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,WhiteChoc02,White Chocolate,129,2,DELIVERED,PAID,258,308,user429@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00003,2023-01-16 15:53:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,DarkChoc01,Dark Chocolate,126,5,DELIVERED,PAID,630,680,user385@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00004,2023-01-21 13:43:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,AFCandy04,AF Candy Chocolate,12,3,DELIVERED,PAID,36,86,user343@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00005,2023-01-15 19:21:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,MilkChoc03,Milk Chocolate,139,1,DELIVERED,PAID,139,189,user451@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00006,2023-01-17 07:17:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,AFCandy04,AF Candy Chocolate,12,1,DELIVERED,PAID,12,62,user414@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00007,2023-01-26 21:06:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,WhiteChoc02,White Chocolate,129,3,DELIVERED,PAID,387,437,user871@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00008,2023-01-07 01:05:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,DarkChoc01,Dark Chocolate,126,3,DELIVERED,PAID,378,428,user581@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00009,2023-01-19 21:15:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,MilkChoc03,Milk Chocolate,139,1,DELIVERED,PAID,139,189,user370@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
DO630JkNFCFKKaX00010,2023-01-03 21:10:00,"484 Taysan - Ibaan Rd, Ibaan, Batangas, Philippines",50,3NbKvPK9euzNcCS71DFr,Tobleron,149,1,DELIVERED,PAID,149,199,user686@gmail.com,4Qw6l0ZqRLcjg0eDUg62NhtIAAk1
